"Issuetype","Status","Time Spent"
"Internal","Code Review","33"
"Internal","Development in Progress","38"
"Internal","Ready for Development","6"
"Internal","New","1075880"
"Internal","On Hold","161"
"Internal","Cancelled","22"
"Task","New","1079888"
"Task","In Progress","129"
"Task","In Review","90"
"Task","On Hold","440"
"Task","Development in Progress","1734"
"Task","Ready for Development","0"
"Task","Code Review","2224"
"Technical Debt","Code Review","40"
"Technical Debt","Development in Progress","227"
"Technical Debt","Ready for Development","4"
"Technical Debt","New","1079109"
"Technical Debt","In Progress","23"
"Story","Code Review","40"
"Story","Development in Progress","144"
"Story","Ready for Development","28"
"Story","New","1078579"
"Story","On Hold","875"
"Story","In Progress","38"
"Documentation Sub-Task","In Review","63"
"Documentation Sub-Task","In Progress","87"
"Documentation Sub-Task","New","1079943"
"Documentation Sub-Task","Code Review","5"
"Documentation Sub-Task","Development in Progress","165"
"Documentation Sub-Task","Ready for Development","0"
"Documentation","In Review","320"
"Documentation","In Progress","1050"
"Documentation","New","1077860"
"Documentation","On Hold","649"
"Sub-task","In Progress","622"
"Sub-task","New","1078835"
"Sub-task","On Hold","1465"
"Sub-task","In Review","226"
"Epic","Code is Ready","46"
"Epic","Epic In Progress","987"
"Epic","Planning","28"
"Epic","Ready for Planning","101"
"Epic","Ready for PCCB","10"
"Epic","Analysis","351"
"Epic","New","1025705"
"Epic","Ready for Development","85"
"Epic","Cancellation ready for PCCB","0"
"Epic","Development in Progress","167"
"Cosmetic","Code Review","132"
"Cosmetic","Development in Progress","71"
"Cosmetic","Ready for Development","281"
"Cosmetic","New","1078112"
"Cosmetic","On Hold","506"
"Development Sub-Task","In Progress","158"
"Development Sub-Task","New","1077722"
"Defect","Code Review","24"
"Defect","Development in Progress","862"
"Defect","Ready for Development","191"
"Defect","New","1073076"
